Artist,Country,State/Region/Province,City,Related Labels,Related Bands,Released split with,Year (of the first release),Website,Streaming Site,Discogs,Rate Your Music,Style,Melodiousness,My rating,Tags,Added at,Page ID
Reno Dakota,UK/England,Cambridgeshire,Cambridge,,,"Bonjour (https://www.notion.so/Bonjour-a5b5fc154a374e1597deb0b2a9c11f3a?pvs=21), Nai Harvest (https://www.notion.so/Nai-Harvest-76a8bbc2d87d4cbbb4ae4996a1570723?pvs=21)",2011,,https://renodakota.bandcamp.com/,https://www.discogs.com/artist/3292044-Reno-Dakota,,"Indie Rock, Math, Midwest Emo, Twinkle",7,6,,"July 22, 2023 1:22 PM",dd08e56176f94695aa8e09ba80dd44de
Piles and Piles,US,Massachusetts,Acton,,,,2013,,https://pilesandpiles.bandcamp.com/,-,https://rateyourmusic.com/artist/piles_and_piles,"Indie Rock, Math, Midwest Emo, Twinkle",6,5,,"July 22, 2023 1:13 PM",7ac821ab2d9040d0bfbbd0aff6e7743f
Boy Parts,,,,,"Emo Side Project (https://www.notion.so/Emo-Side-Project-56e2ae03897949dfbc0ca0a5512f3708?pvs=21), Coate (https://www.notion.so/Coate-2042c1cd75ff4ea18901ce1f9b1c6b2f?pvs=21)",,2014,,,https://www.discogs.com/artist/3743761-Boy-Parts,,"Indie Rock, Midwest Emo",7,6,,"July 20, 2023 10:17 PM",4f4edf22effa4db29ee7872aac0264b5
Dormlife,US,Illinois,Chicago,,Midwest Blue (https://www.notion.so/Midwest-Blue-6dc94f25ee3e4d40b44d497dc8f86a13?pvs=21),,2005,,https://dormlife.bandcamp.com/,https://www.discogs.com/artist/2546830-Dormlife,,"Indie Folk, Midwest Emo",7,7,Acoustic,"June 29, 2023 10:01 PM",33f290a0363f47d995b6c32a5b2be9d3
Cleons Down,US,Michigan,Detroit,,,,1995,,https://cleonsdown.bandcamp.com/,https://www.discogs.com/artist/2392832-Cleons-Down,,"Midwest Emo, Post-Hardcore",6,7,"Twin-vocal, With Screamed voice","June 24, 2023 8:10 PM",3cbc50668cf34db28f0f68da0954a1af
Anorexic Beauty Queen,US,New York,Syracuse,,,,2004,,https://anorexicbeautyqueen.bandcamp.com/,https://www.discogs.com/artist/5935006-Anorexic-Beauty-Queen,https://rateyourmusic.com/artist/anorexic_beauty_queen,"Indie Rock, Midwest Emo, Post Rock",8,8,With Keyboards,"May 6, 2023 10:11 PM",4c50133b5d48425890d5bc0534d589e9
Issue Sixteen,Canada,Québec,Montréal,,,,2002,,https://issuesixteen.bandcamp.com/,https://www.discogs.com/artist/2722902-Issue-Sixteen,https://rateyourmusic.com/artist/issue-sixteen,"Midwest Emo, Post-Hardcore",7,8,Twin-vocal,"April 24, 2023 11:28 PM",c4872f69b27e4aae85f7aef0801b56e7
Chester,US,Florida,Tampa,New Granada Records (https://www.notion.so/New-Granada-Records-e248d623d9364b56a78180d2f3af5647?pvs=21),,,,,,https://www.discogs.com/artist/1425435-Chester-7,,"Indie Rock, Midwest Emo",7,6,VA: The Emo Philips Diaries: From Tampa To Eternity,"April 18, 2023 10:51 PM",aceb6cef96bb45ed9308de4dccfd99f8
Japanese Football,Japan,Tokyo,,,"PRIMACASATA (https://www.notion.so/PRIMACASATA-5984273f78d9405cbdc90daf722dc2ae?pvs=21), HILLMYNAH (https://www.notion.so/HILLMYNAH-02483be842274ee18b9d9fb7ee68dd28?pvs=21)",,2021,https://twitter.com/japafoot,https://www.tunecore.co.jp/artists?id=581681,,,"Indie Rock, Midwest Emo",6,4,Kinsella-like,"April 17, 2023 2:40 PM",51a98beba24b42448a139dc8a7ff9eef
Chiral,US,Illinois,Chicago,,,,2003,,https://chiral.bandcamp.com/,,,"Alternative Rock, Midwest Emo, Post Rock, Post-Hardcore",7,6,,"April 9, 2023 7:55 AM",4d9014ab0b574cb791c85e792b0919d6
